"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Stories","Lifetime Talking About This (Post)"
1906255039602883_2047758122119240,https://www.facebook.com/OmarSGhobash/posts/2047758122119240,"“If you wish to strive for peace of soul and pleasure, then believe; if you wish to be a devotee of truth, then inquire.” - Nietzsche",Photo,,,"01/03/2018 09:05:29 AM"," ",33,32
1906255039602883_2047480055480380,https://www.facebook.com/OmarSGhobash/posts/2047480055480380,"Dubai Customs commences #YearofZayed with &quot;A Touch of Giving&quot; initiative.",Photo,,,"01/02/2018 06:41:12 PM"," ",4,4
1906255039602883_2047181402176912,https://www.facebook.com/OmarSGhobash/posts/2047181402176912,"The #UAE is a firm supporter of young artists and innovative  ideas, locally and globally:
https://www.thenational.ae/arts-culture/art/art-in-the-uae-the-exhibitions-and-installations-to-look-out-for-in-2018-1.691805",Link,,,"01/02/2018 03:29:45 AM"," ",15,15
1906255039602883_2047028532192199,https://www.facebook.com/OmarSGhobash/posts/2047028532192199,"M Ziauddin and Express Tribune published a review of my essay for the Foreign Affairs: ''How to Survive in an Age of Extremism and Islamophobia'', an essay I published a year ago. 
It is an introduction on the subject covered in my book 
- ''Letters to a young Muslim'', which can be found here: (https://www.omarghobash.com/letters-to-a-young-muslim/ )
------------------------------------------------------------------------------
https://tribune.com.pk/story/1596262/1-advice-young-muslims/",Link,,,"01/01/2018 05:34:18 PM"," ",193,186
1906255039602883_2046662942228758,https://www.facebook.com/OmarSGhobash/posts/2046662942228758,"#YearofZayed #Happy2018
Sheikh Zayed, the Father of the Nation, once said that what he prized above all was not “material entities” but what he called “the able man”, possessed of “intellect and capabilities”. When he embarked on his quest to unite the territories that comprise today’s United Arab Emirates, the chief weapon in his arsenal was his vision. His legacy is indispensable to healing the fractures of a world that is being disfigured by demagoguery and divisive politics. He welcomed people from every part of the world with open arms, transforming the UAE into one of the most pluralistic societies in the world.
The National",Photo,,,"12/31/2017 11:02:15 PM"," ",41,37
1906255039602883_2046264558935263,https://www.facebook.com/OmarSGhobash/posts/2046264558935263,"Omar Saif Ghobash shared The National's video.",SharedVideo,,,"12/31/2017 07:33:16 AM"," ",6,6
1906255039602883_2045429865685399,https://www.facebook.com/OmarSGhobash/posts/2045429865685399,"Facebook operates in several ways - as a platform to allow for individual expression as well as to undermine the powerful mechanisms traditionally operating in our youth. It creates a space for the individual to look at his or her page as an expression of themselves. 
These are powerful mechanisms within the reach of any child in the Arab and Muslim worlds and therefore are to be regarded as a vital antidote to the manipulative and fundamentalist ideas devouring our youth. 
#TheLetters",Status,,,"12/29/2017 09:03:23 AM"," ",124,119
1906255039602883_2045357389025980,https://www.facebook.com/OmarSGhobash/posts/2045357389025980,"Nine of the 31 ministerial positions are now held by women, making the country more gender equal than the U.S current cabinet.
https://www.thenational.ae/uae/watch-the-uae-s-foray-into-art-space-and-taxes-1.691133",Link,,,"12/29/2017 05:29:45 AM"," ",25,23
1906255039602883_2045162832378769,https://www.facebook.com/OmarSGhobash/posts/2045162832378769,"Omar Saif Ghobash shared The National's post.",Link,,,"12/28/2017 05:50:47 PM"," ",153,148
1906255039602883_2044986582396394,https://www.facebook.com/OmarSGhobash/posts/2044986582396394,"The establishment of the youth council aims to empower the next generation of space leaders.
https://www.thenational.ae/uae/uae-space-agency-launches-emirati-youth-council-1.691192",Link,,,"12/28/2017 07:53:28 AM"," ",3,3
1906255039602883_2044741405754245,https://www.facebook.com/OmarSGhobash/posts/2044741405754245,"With Dr. Mohamed Nasser Al Ahbabi, Director General of the UAE Space Agency - وكالة الإمارات للفضاء, discussing the agency's mission and ways to cooperate with #France in future projects. 
#UAE",Photo,,,"12/27/2017 06:38:20 PM"," ",132,128
1906255039602883_2044632145765171,https://www.facebook.com/OmarSGhobash/posts/2044632145765171,"The invitation to violence is offered like a drug might be, or alcohol. 
It is a short route to immediate empowerment and satisfaction. But it is as equally destructive as, if not more so than, alcohol or drugs.",Status,,,"12/27/2017 10:40:16 AM"," ",9,8
1906255039602883_2044602442434808,https://www.facebook.com/OmarSGhobash/posts/2044602442434808,"My interview with The National by Mina Al-Oraibi:
https://www.thenational.ae/world/gcc/the-uae-s-new-man-in-paris-two-countries-united-by-activist-leadership-1.691048",Link,,,"12/27/2017 08:57:56 AM"," ",48,42
1906255039602883_2044402059121513,https://www.facebook.com/OmarSGhobash/posts/2044402059121513,"Omar Saif Ghobash shared Rachel Hamilton's post.",Link,,,"12/26/2017 10:08:10 PM"," ",29,25
1906255039602883_2044342482460804,https://www.facebook.com/OmarSGhobash/posts/2044342482460804,"Omar Saif Ghobash updated their phone number.",Link,,,"12/26/2017 05:49:37 PM"," ",3,3
1906255039602883_2044335295794856,https://www.facebook.com/OmarSGhobash/posts/2044335295794856,"Omar Saif Ghobash shared Muslims Are Speaking Out's post.",Link,,,"12/26/2017 05:18:18 PM"," ",87,81
1906255039602883_2044275939134125,https://www.facebook.com/OmarSGhobash/posts/2044275939134125,"There is a growing sense of responsibility within certain sectors of the Arab world for the spread of extremist thinking. Traditional so-called quietist scholars are connecting with one another and trying to frame principles and statements that will take control of the deteriorating public discourse within Islam. If you ask who defines the Ummah and what its interests are, you find yourself in hot water.",Status,,,"12/26/2017 01:18:54 PM"," ",47,47
1906255039602883_2044241615804224,https://www.facebook.com/OmarSGhobash/posts/2044241615804224,"Celebrating #tolerance in the UAE. Via Khalid Al Ameri",SharedVideo,,,"12/26/2017 11:15:24 AM"," ",51,51
1906255039602883_2044217585806627,https://www.facebook.com/OmarSGhobash/posts/2044217585806627,"Omar Saif Ghobash shared The National's post.",Link,,,"12/26/2017 10:15:26 AM"," ",3,3
1906255039602883_2043909169170802,https://www.facebook.com/OmarSGhobash/posts/2043909169170802,"Omar Saif Ghobash shared Lovin Dubai's video.",SharedVideo,,,"12/25/2017 04:52:16 PM"," ",14,14
1906255039602883_2043897382505314,https://www.facebook.com/OmarSGhobash/posts/2043897382505314,"“We seldom think of what we have but always of what we lack.” 
     Arthur Schopenhauer",Status,,,"12/25/2017 04:12:00 PM"," ",28,22
1906255039602883_2042231149338604,https://www.facebook.com/OmarSGhobash/posts/2042231149338604,"I see myself – first, as a liberal, in the positive and broad sense of the word; second, as an Arab who insists on thinking as deeply as possible about the Arab world; and third, as an individual. That’s how I would like to you to hear me: as a liberal, a conscientious thinker, and an individual, not as a government official. 
https://www.omarghobash.com/islam-and-democracy/",Link,,,"12/22/2017 08:45:00 AM"," ",68,64
1906255039602883_2042230736005312,https://www.facebook.com/OmarSGhobash/posts/2042230736005312,"“We must be willing to let go of the life we have planned, so as to have the life that is waiting for us.”  E.M. Forster",Status,,,"12/22/2017 05:00:00 AM"," ",21,19
1906255039602883_2042220076006378,https://www.facebook.com/OmarSGhobash/posts/2042220076006378,"Omar Saif Ghobash shared The National's album.",Photo,,,"12/21/2017 08:51:54 PM"," ",5,5
1906255039602883_2042120159349703,https://www.facebook.com/OmarSGhobash/posts/2042120159349703,"The #UAE is investing in moral education as a way to counter #extremism.
http://gulfnews.com/news/uae/education/moral-education-must-to-counter-extremism-says-experts-1.2128442",Link,,,"12/21/2017 01:45:18 PM"," ",87,84
1906255039602883_2042060826022303,https://www.facebook.com/OmarSGhobash/posts/2042060826022303,"In a growing number of Muslim countries, there is a recognition that everyone will benefit, both economically and socially, if women are not permitted but actually supported in the workplace. Economic development and competition demand that all participate. 
OmarGhobash.com
#TheLetters",Status,,,"12/21/2017 10:27:23 AM"," ",83,71
1906255039602883_2041285582766494,https://www.facebook.com/OmarSGhobash/posts/2041285582766494,"C’était un grand honneur de présenter mes lettres de créance au président Emmanuel Macron. Il y a beaucoup de coopération et de bonne volonté entre les Emirats Arabes Unis et la France, alors servir comme ambassadeur auprès de l'un de nos plus proches alliés est un privilège. 
It was with great honor that I presented my credentials to President Emmanuel Macron. There is so much cooperation and goodwill between the United Arab Emirates and France, so serving as the Ambassador to one of our closest allies is a privilege. 
Élysée – Présidence de la République française
#UAE #France",Photo,,,"12/19/2017 02:00:03 PM"," ",846,810
1906255039602883_2041106982784354,https://www.facebook.com/OmarSGhobash/posts/2041106982784354,"PARIS, 18th December 2017:
The ALECSO-Sharjah Award for Language and Lexical Studies (2017) in conjunction with UNESCO.  H.H. Dr. Sheikh Sultan bin Mohammed Al Qasimi honors winners of Sharjah Award for Language and Lexical Studies. 
#UAE",Photo,,,"12/19/2017 05:29:24 AM"," ",131,129
1906255039602883_2041077022787350,https://www.facebook.com/OmarSGhobash/posts/2041077022787350,"“Thinking is difficult, that’s why most people judge.”
Carl Jung",Status,,,"12/19/2017 03:56:08 AM"," ",43,37
1906255039602883_2040912926137093,https://www.facebook.com/OmarSGhobash/posts/2040912926137093,"Omar Saif Ghobash shared David Wolfe's video.",SharedVideo,,,"12/18/2017 05:41:07 PM"," ",17,15
1906255039602883_2040882189473500,https://www.facebook.com/OmarSGhobash/posts/2040882189473500,"“Character is simply habit long continued.” 
 Plato",Status,,,"12/18/2017 03:46:35 PM"," ",8,7
1906255039602883_2040806839481035,https://www.facebook.com/OmarSGhobash/posts/2040806839481035,"Today is ''World Arabic Language Day'' #UAE
http://gulfnews.com/news/uae/government/uae-committed-to-preserving-promoting-arabic-language-1.2143198",Link,,,"12/18/2017 11:01:56 AM"," ",26,22
1906255039602883_2040066792888373,https://www.facebook.com/OmarSGhobash/posts/2040066792888373,,Photo,,,"12/16/2017 07:09:23 PM"," ",19,16
1906255039602883_2039533982941654,https://www.facebook.com/OmarSGhobash/posts/2039533982941654,"As long as we do not recognize the individual within our societies, we will not be able to live with humanity outside of our faith.
#TheLetters",Status,,,"12/15/2017 02:11:23 PM"," ",12,11
1906255039602883_2039509299610789,https://www.facebook.com/OmarSGhobash/posts/2039509299610789,"UAE Statement on UN Security Council Resolution 2231:
 #Iran continues its expansionist &amp; destabilizing behavior in the region, and is fueling the conflict in Yemen.
https://www.uae-embassy.org/news-media/uae-statement-un-security-council-resolution-2231",Link,,,"12/15/2017 01:01:55 PM"," ",2,2
1906255039602883_2039163269645392,https://www.facebook.com/OmarSGhobash/posts/2039163269645392,"Omar Saif Ghobash shared Amazing Things's post.",Photo,,,"12/14/2017 08:28:04 PM"," ",15,14
1906255039602883_2039089939652725,https://www.facebook.com/OmarSGhobash/posts/2039089939652725,"&quot;The UAE seeks to establish international efforts to develop technologies that benefit humankind, and that establish the foundation of a better future for more generations to come.&quot; - His Highness Sheikh Mohammed bin Rashid Al Maktoum
#Space #Technology #Dubai
http://edition.cnn.com/2017/12/07/middleeast/dubai-uae-mars-mission-global-gateway/index.html",Link,,,"12/14/2017 04:00:59 PM"," ",9,8
1906255039602883_2039015582993494,https://www.facebook.com/OmarSGhobash/posts/2039015582993494,"How the #UAE is fighting extremism:
https://www.uae-embassy.org/sites/default/files/uae_cve_infographic_final.png",Link,,,"12/14/2017 11:30:06 AM"," ",10,9
1906255039602883_2038982516330134,https://www.facebook.com/OmarSGhobash/posts/2038982516330134,"Launched my new website recently:
www.OmarGhobash.com
#TheLetters",Photo,,,"12/14/2017 09:36:34 AM"," ",72,60
1906255039602883_2038626776365708,https://www.facebook.com/OmarSGhobash/posts/2038626776365708,"Sheikh Mohammed bin Zayed and King Salman discuss US Jerusalem move",Link,,,"12/13/2017 11:46:09 AM"," ",13,10
1906255039602883_2038611573033895,https://www.facebook.com/OmarSGhobash/posts/2038611573033895,"Omar Saif Ghobash shared Saif Ghobash Banipal Prize For Arabic Literary Translation's album.",Photo,,,"12/13/2017 10:49:57 AM"," ",9,9
1906255039602883_2038590643035988,https://www.facebook.com/OmarSGhobash/posts/2038590643035988,"Omar Saif Ghobash shared Khaleej Times's post.",Link,,,"12/13/2017 09:34:52 AM"," ",10,10
1906255039602883_2038169136411472,https://www.facebook.com/OmarSGhobash/posts/2038169136411472,"UAE set for positive trends despite region’s bleak outlook.
http://gulfnews.com/news/uae/government/2018-will-be-positive-for-uae-mohammad-says-1.2139667",Link,,,"12/12/2017 11:33:50 AM"," ",11,11
1906255039602883_2038135396414846,https://www.facebook.com/OmarSGhobash/posts/2038135396414846,"Our Islamic world has been struggling with the idea of what is true and authentically Muslim alongside what must be rejected as foreign. Why do we do this? 
Rather than condemning Western society for having examined and theorized these matters, we should open our eyes and ears to the fact we share these problems.",Status,,,"12/12/2017 09:34:14 AM"," ",26,19
1906255039602883_2037809363114116,https://www.facebook.com/OmarSGhobash/posts/2037809363114116,"“Repentance should not be self-torture.” 
- Letters to a young Muslim",Status,,,"12/11/2017 02:00:41 PM"," ",10,10
1906255039602883_2037701853124867,https://www.facebook.com/OmarSGhobash/posts/2037701853124867,"#AbuDhabi #Jerusalem",Photo,,,"12/11/2017 08:46:13 AM"," ",3,3
1906255039602883_2037518603143192,https://www.facebook.com/OmarSGhobash/posts/2037518603143192,"“It is not because things are difficult that we do not dare; it is because we do not dare that things are difficult” Seneca",Status,,,"12/11/2017 12:42:53 AM"," ",10,9
1906255039602883_2036845976543788,https://www.facebook.com/OmarSGhobash/posts/2036845976543788,"Omar Saif Ghobash shared The National's post.",Link,,,"12/09/2017 08:57:06 AM"," ",5,5
1906255039602883_2036410843253968,https://www.facebook.com/OmarSGhobash/posts/2036410843253968,"If there is animosity toward the idea of Islam and Muslims, then we should remember that there is more than one way of dealing with it. 
We demonstrate peace by refusing anger or violence as a response in our interactions with others.",Status,,,"12/08/2017 10:13:11 AM"," ",27,21
1906255039602883_2036365546591831,https://www.facebook.com/OmarSGhobash/posts/2036365546591831,"The Louvre Abu Dhabi acquired the Leonardo da Vinci ''Salvator Mundi'', the painting depicting Jesus Christ. #UAE",Link,,,"12/08/2017 08:09:58 AM"," ",46,44
1906255039602883_2036354739926245,https://www.facebook.com/OmarSGhobash/posts/2036354739926245,"The #UAE and #KSA formed a new alliance to strengthen its military cooperation and relations. https://english.alarabiya.net/en/views/news/middle-east/2017/12/08/The-alliance-between-Saudi-Arabia-and-the-UAE.html",Link,,,"12/08/2017 07:37:01 AM"," ",8,6
1906255039602883_2035954226632963,https://www.facebook.com/OmarSGhobash/posts/2035954226632963,"The way we currently interpret our texts leaves little room for discussion or philosophizing and wondering. 
#TheLetters",Status,,,"12/07/2017 08:57:29 AM"," ",18,14
1906255039602883_2035910309970688,https://www.facebook.com/OmarSGhobash/posts/2035910309970688,"The Ministry of Foreign Affairs and International Co-operation said such unilateral decisions are contrary to legitimate international resolutions.
#UAE #Jerusalem
https://www.thenational.ae/uae/government/uae-trump-s-jerusalem-decision-in-complete-defiance-of-palestinians-rights-1.682291",Link,,,"12/07/2017 08:02:02 AM"," ",19,13
1906255039602883_2035587673336285,https://www.facebook.com/OmarSGhobash/posts/2035587673336285,"The Astronaut Programme is one of many space exploration projects that have been launched in the #UAE however, this is the first of its kind where Emiratis will step into space.
https://www.khaleejtimes.com/nation/uae-starts-hunt-for-emirati-astronatus-MBRSC-space",Link,,,"12/06/2017 02:50:11 PM"," ",12,9
1906255039602883_2035558640005855,https://www.facebook.com/OmarSGhobash/posts/2035558640005855,"Presented my Letter of Credence to the French Foreign Ministry.
#UAE #France",Photo,,,"12/06/2017 12:56:15 PM"," ",13,11
1906255039602883_2035508220010897,https://www.facebook.com/OmarSGhobash/posts/2035508220010897,"''If you know, recognize that you know. If you don't know, realize that you don't know. That is knowledge.'' - Confucius",Status,,,"12/06/2017 10:21:00 AM"," ",11,10
1906255039602883_2035012983393754,https://www.facebook.com/OmarSGhobash/posts/2035012983393754,"Dubai Culture &amp; Arts Authority with #UAE Embassy in Paris, France.",Photo,,,"12/05/2017 09:40:35 AM"," ",17,13
1906255039602883_2034953120066407,https://www.facebook.com/OmarSGhobash/posts/2034953120066407,"“Where your talents and the needs of the world cross; there lies your vocation.” Aristotle",Status,,,"12/05/2017 06:59:53 AM"," ",27,16
1906255039602883_2034644740097245,https://www.facebook.com/OmarSGhobash/posts/2034644740097245,"When you hear the statement ''Islam is a religion of peace'' I would like you to grab hold of the responsibility of peace. Not as a defensive statement but, as a reminder of a great responsibility that we have toward Allah, toward others, and towards ourselves.
#TheLetters #MuslimsForPeace",Status,,,"12/04/2017 12:43:27 PM"," ",27,21
1906255039602883_2034621523432900,https://www.facebook.com/OmarSGhobash/videos/2034621523432900/,"We have a lot of common values, expressing through our academic, cultural and economic ties. 
#France #UAE",Video,,,"12/04/2017 11:29:09 AM"," ",70,63
1906255039602883_2034539800107739,https://www.facebook.com/OmarSGhobash/posts/2034539800107739,"This year’s judging panel for the Saif Ghobash Banipal Prize For Arabic Literary Translation, in memory of my father, Saif Ghobash:
Dr. Alastair Niven, Peter Kalu, Wen-chin Ouyang and Salam Sarhan. 
The ceremony will be held on March 1, 2018.
#Translation #Literature
https://www.thenational.ae/arts-culture/books/saif-ghobash-banipal-translation-prize-shortlist-announced-1.681327",Link,,,"12/04/2017 07:29:41 AM"," ",33,27
1906255039602883_2033725566855829,https://www.facebook.com/OmarSGhobash/videos/2033725566855829/,"احتفال اليوم الوطني للإمارات العربية المتحدة في باريس
Célébration de la 46ème Fête Nationale des EAU au Musée du Louvre à Paris. 
Celebration of the #UAE46thNationalDay at the Musée du Louvre, Paris. 
#UAEEmbassy #France with Dubai Culture &amp; Arts Authority, Louvre Abu Dhabi",Video,,,"12/02/2017 09:54:35 AM"," ",62,56
1906255039602883_2033476483547404,https://www.facebook.com/OmarSGhobash/posts/2033476483547404,"Sheikh Mohammed bin Zayed's UAE National Day message",Link,,,"12/01/2017 09:37:25 PM"," ",10,10
1906255039602883_2033429386885447,https://www.facebook.com/OmarSGhobash/posts/2033429386885447,"How a kid who didn’t read a book until he was 17 grew up to become a literary star",Link,,,"12/01/2017 06:16:49 PM"," ",13,12
1906255039602883_2033310846897301,https://www.facebook.com/OmarSGhobash/posts/2033310846897301,"Podemos contribuir mucho más al modelo ético, moral y religioso de lo que ahora mismo está permitiendo la clase religiosa.
We can contribute much more to the ethical, moral and religious model of what the religious class is now allowing.
*Un error: actualmente soy EAU Embajador en Francia.
An error: I am currently UAE Ambassador to France. 
#TheLetters
http://www.lavanguardia.com/internacional/20171201/433308329527/omar-saif-ghobash-rusia-asiento-conductor-siria.html",Link,,,"12/01/2017 12:11:37 PM"," ",55,53
1906255039602883_2033294243565628,https://www.facebook.com/OmarSGhobash/posts/2033294243565628,"“The right question is usually more important than the right answer.” -
 Plato",Status,,,"12/01/2017 11:14:59 AM"," ",12,10
1906255039602883_2032883703606682,https://www.facebook.com/OmarSGhobash/posts/2032883703606682,"An immersive 360° experience of the futuristic city was released, giving the most detailed view yet of it.
The release is part of Dubai's Mars 2117 Strategy, which seeks to build the first settlement on Mars in the next 100 years. 
#UAE #Technology
http://www.dailymail.co.uk/sciencetech/article-5131955/Incredible-360-VR-footage-UAE-Martian-colony.html",Link,,,"11/30/2017 01:24:49 PM"," ",10,8
1906255039602883_2032815120280207,https://www.facebook.com/OmarSGhobash/posts/2032815120280207,"We share similar values with France:
''Addressing the reception, Ambassador Ghobash recalled the eminent role played by the Founding Father, late Sheikh Zayed in establishing the Union on basis of tolerance, peaceful co-existence, and openness to the entire world.'' 
Nous partageons des valeurs similaires avec la France:
“S'adressant à la réception, l'ambassadeur Ghobash a rappelé le rôle éminent joué par le fondateur, représenté par le Cheikh Zayed, dans l'établissement de l'Union à la base de la tolérance, de la coexistence pacifique et de l'ouverture au monde entier.”
http://gulftoday.ae/portal/c8479249-44ae-4fd0-b24d-aaf91ff6cf3c.aspx",Link,,,"11/30/2017 09:48:53 AM"," ",46,46
1906255039602883_2032773500284369,https://www.facebook.com/OmarSGhobash/posts/2032773500284369,"Peace is something that should not be offered when it is to our advantage and withdrawn when it is a burden. Peace is a state of being. Peace makes real sense when it is offered as a response to anger, aggression, and violence. 
#TheLetters #Books",Status,,,"11/30/2017 07:59:29 AM"," ",23,16
1906255039602883_2032401776988208,https://www.facebook.com/OmarSGhobash/posts/2032401776988208,"I thoroughly enjoyed hosting the 46th #UAENationalDay at the Musée du Louvre, in Paris and I am eager to begin my work as the United Arab Emirates Ambassador to #France.
Wishing everyone in the UAE a happy 46th National Day!
Louvre Abu Dhabi",Photo,,,"11/29/2017 11:09:41 AM"," ",146,136
1906255039602883_2032367650324954,https://www.facebook.com/OmarSGhobash/posts/2032367650324954,"El tema de mi libro es la conexión entre la individualidad y la responsabilidad moral. Ambos se basan en la idea de la libertad.
The theme of my book is the connection between individualism and moral responsibility. Both subjects are based on the idea of #Freedom.
#Cartas #Musulman
http://www.lasprovincias.es/sociedad/incita-violencia-drogas-20171129004935-ntvo.html",Link,,,"11/29/2017 09:23:23 AM"," ",43,37
1906255039602883_2031956197032766,https://www.facebook.com/OmarSGhobash/posts/2031956197032766,"Omar Saif Ghobash was mentioned in a post.",,,,"11/28/2017 12:07:34 PM"," ",0,0
1906255039602883_2031952113699841,https://www.facebook.com/OmarSGhobash/posts/2031952113699841,"Omar Saif Ghobash shared The National's post.",Link,,,"11/28/2017 11:57:32 AM"," ",25,25
1906255039602883_2031943410367378,https://www.facebook.com/OmarSGhobash/posts/2031943410367378,"People with great desire to be good, and a great desire to experience life, can easily lose their way.
#TheLetters 
www.OmarGhobash.com",Status,,,"11/28/2017 11:36:08 AM"," ",21,17
1906255039602883_2031883083706744,https://www.facebook.com/OmarSGhobash/posts/2031883083706744,"It has been a great honor to serve my home country, the UAE, in Russia for nearly a decade. I'd like to express my gratitude to the Russian Foreign Ministry - МИД России, and Mikhail Bogdanov (diplomat), special representative of the President of the Russian Federation for the Middle East and African countries, for awarding me with the esteemed Badge of Cooperation. 
#UAE #ForeignAffairs
http://www.mid.ru/foreign_policy/news/-/asset_publisher/cKNonkJE02Bw/content/id/2946996",Photo,,,"11/28/2017 09:03:15 AM"," ",150,131
1906255039602883_2031557620405957,https://www.facebook.com/OmarSGhobash/posts/2031557620405957,"#TheLetters in Spanish.",Photo,,,"11/27/2017 04:09:12 PM"," ",62,60
1906255039602883_2031085517119834,https://www.facebook.com/OmarSGhobash/posts/2031085517119834,"Omar Saif Ghobash shared Vintage Books &amp; Anchor Books's photo.",Photo,,,"11/26/2017 12:10:52 PM"," ",42,35
1906255039602883_2030178903877162,https://www.facebook.com/OmarSGhobash/posts/2030178903877162,"Tonight, from midnight, the #EiffelTower lights will be turned off, to pay tribute to the victims of the attack in Egypt.",Photo,,,"11/24/2017 10:09:14 AM"," ",18,14
1906255039602883_2030135677214818,https://www.facebook.com/OmarSGhobash/posts/2030135677214818,"The Ministry of Foreign Affairs condemns the terror attack in Egypt:
“The UAE strongly condemns the terrorist attack and affirms its full solidarity with Egypt against any terrorist acts that target its security and stability.”
http://gulftoday.ae/portal/c115c851-8fa4-4ffc-a080-55f95579ae80.aspx",Status,,,"11/24/2017 07:57:28 AM"," ",7,7
1906255039602883_2029799437248442,https://www.facebook.com/notes/omar-saif-ghobash/islam-and-democracy/2029799443915108/,"Islam and democracy:",,,,"11/23/2017 01:27:11 PM"," ",9,9
1906255039602883_2029789430582776,https://www.facebook.com/OmarSGhobash/posts/2029789430582776,"The official logo for #YearOfZayed 2018. 
#UAE Founder.",SharedVideo,,,"11/23/2017 12:24:34 PM"," ",10,9
1906255039602883_2029766803918372,https://www.facebook.com/OmarSGhobash/posts/2029766803918372,"It was a pleasure to serve as UAE Ambassador to Russia. I am grateful for all the friends I've made throughout the years living in Moscow. 
لقد كنت سعيدا لكوني سفيرا لدولة الإمارات العربية المتحدة في روسيا. كما أنني ممتنا جدا لجميع الشخصيات التي قابلتها و العلاقات التي بنيتها خلال السنوات التي قضيتها هناك. 
#UAE
https://www.sharjah24.ae/ar/uae/268408--%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%D8%A9-%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A%D8%A9-%D8%AA%D9%83%D8%B1%D9%85-%D8%B3%D9%81%D9%8A%D8%B1-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D8%A9",Link,,,"11/23/2017 11:00:54 AM"," ",133,122
1906255039602883_2029222873972765,https://www.facebook.com/OmarSGhobash/posts/2029222873972765,"An interview from earlier this year with John Harrison of Moscow Expat Life:
http://www.moscowexpatlife.ru/2017/03/book-letters-to-a-young-muslim/",Link,,,"11/22/2017 08:44:33 AM"," ",30,29
1906255039602883_2029199967308389,https://www.facebook.com/OmarSGhobash/posts/2029199967308389,"Shamma bint Suhail Faris Al Mazrui is the #UAE Minister of Youth. Her role is to create a bridge between the government and young people, represent their issues and aspirations on the ministerial council and develop a strategy for improving their lives and their engagement in society.
 http://www.bonjourdubai.com/plus-jeune-ministre-monde-aux-emirats/",Link,,,"11/22/2017 07:37:22 AM"," ",89,82
